LFQ	15	0	1	649568	1055	0	6089	543	11224	21913	15499	32700	8893	2332	12015	2852	573	1450	2125	8067	6207	18943	13214	10135	2581	7604	9485	2620	2564	2795	13417	14496	8240	18810	5966	16097	28203	19487	18476	13651	6723	103	0	0	0	0
LFQ	16	0	6	662551	935	0	5839	536	10868	21063	14529	30552	8337	4680	9001	3265	46	1448	7816	6286	17728	11688	9827	3981	5410	9424	2629	3153	13911	13257	8139	16487	8602	10949	23455	20452	10220	17694	14172	7111	565	104	0	0	0	0
LFQ	17	0	14	674962	925	35	5721	504	10301	20193	14323	30066	8057	2035	11075	2886	496	1335	2902	6783	6304	16022	11319	9776	3661	8695	6168	2489	2739	11649	13110	7582	17167	6209	13648	22981	20695	13013	21156	9021	604	95	0	0	0	0
LFQ	18	0	13	686809	918	46	5665	469	9788	19643	14021	29098	7997	1937	10668	2740	486	1338	2934	6302	5028	16169	10818	9045	1917	10709	5713	2740	2428	1500	11291	13084	8812	13334	8244	12978	24827	18408	18257	14487	5645	410	0	0	0	0
LFQ	19	0	15	698504	855	43	5467	527	9481	19039	13097	27886	9712	2140	9295	2571	617	623	6062	4877	12144	4864	8796	11922	5065	3530	8533	2071	3428	1760	11984	12218	8545	12987	7730	11656	23270	14954	15056	15383	9196	813	0	0	0	0
LFQ	20	0	14	709451	726	61	4963	481	8718	18095	12562	26759	9016	2048	8505	2339	633	577	6039	4966	11608	5076	8615	11241	5275	3699	7927	2592	3439	1528	12065	13488	10724	13346	11666	19595	16693	9580	18757	10793	2348	708	0	0	0	0
LFQ	21	0	22	720179	691	99	4568	532	8052	16750	11950	24929	8371	2029	8001	2193	675	831	6123	4807	11139	5100	7865	10306	4791	3311	8299	2208	3485	1925	11153	12171	8600	11802	7980	11130	22307	14397	14539	14505	8268	633	0	0	0	0
LFQ	22	0	21	731019	619	80	4363	525	3865	13756	11876	27995	7007	2367	9430	1248	876	457	3875	5793	9938	6106	7671	10218	3797	3668	8320	2440	3899	1390	11043	11559	8596	11988	8186	11651	20833	14438	17779	11461	5982	581	0	0	0	0
LFQ	23	0	28	741842	610	119	3983	572	3780	13074	11457	27226	6266	2291	9090	1158	829	576	3603	6016	8890	5316	7743	9381	3731	3841	8363	2437	2625	2591	8858	10224	6107	13758	4805	13026	21555	13439	14692	14147	8206	461	0	0	0	0
LFQ	24	0	24	752627	607	147	3741	573	3633	12804	11722	26760	5948	2262	8927	1160	747	594	3501	6178	8417	6669	7129	8368	3623	3946	7896	2489	2659	2531	8475	9715	5654	13415	4304	12495	20456	12694	13739	12638	7112	337	0	0	0	0
LFQ	25	0	24	763233	571	210	3478	541	6094	14409	10085	23032	5977	1553	7630	1585	198	620	3265	6615	8053	6967	6865	7907	4302	3958	6856	2885	3015	8800	10015	5502	13087	4113	10471	15699	13647	7540	15733	7427	4522	232	0	0	0	0
LFQ	26	0	19	773650	457	266	3319	603	3490	12244	10373	23023	6186	1887	8103	1099	472	823	1950	3816	9691	7956	6894	7327	2448	3955	4819	4611	2609	3064	8154	9482	5368	12492	3909	12053	18437	11245	12801	11268	6127	226	0	0	0	0
LFQ	27	0	41	783584	446	312	3204	691	3233	11876	9931	21698	5758	1822	7745	965	379	910	1611	3848	9589	8259	6671	6507	2074	3919	4956	4546	2589	3035	7673	8947	5104	11873	3706	11799	17501	10677	12441	10539	6050	207	0	0	0	0
LFQ	28	0	48	793493	366	12	3344	710	2638	9482	8136	21135	8818	874	6855	2382	308	898	1401	3750	8930	7732	6462	6062	1815	3982	5407	4441	2752	3055	7138	9165	6010	11400	5259	15534	12491	6867	11756	9931	5700	177	0	0	0	0
LFQ	29	0	54	799891	3295	9	2034	994	2242	6991	9085	20206	9161	1268	5663	3171	213	403	1683	3611	8281	8407	6102	4868	1602	3495	5490	1465	5216	2916	6862	8898	5707	10945	3177	9929	12252	11603	8177	14879	6294	177	0	0	0	0
LFQ	30	0	43	812185	230	7	2670	745	2077	8405	7109	19228	9353	421	5778	2513	154	962	1096	3554	8604	8387	5583	4545	2910	4498	3629	5297	2026	7340	6832	4633	7724	8073	4743	13753	11737	5457	10738	8640	4856	181	0	0	0	0
LFQ	31	0	27	818667	2673	225	535	1917	792	2801	10629	9063	16844	3683	1729	5263	676	764	1169	1975	4164	11163	6004	4940	2138	3261	4027	2327	5517	3098	5609	8619	6020	10418	4107	13698	11195	6442	10862	8644	4849	182	0	0	0	0
LFQ	32	0	43	828224	2649	185	646	1709	834	2454	9926	9167	16161	3205	1597	4912	548	536	1298	1881	3716	9521	6252	4318	1880	3235	3652	2459	2195	4400	6131	5788	5257	7390	8795	5179	15943	10194	9886	9738	4646	166	0	0	0	0
LFQ	33	0	51	838784	2798	150	690	1595	874	2366	9912	9924	14793	2913	1599	4626	438	875	1257	1540	3736	10114	5113	4120	2265	2590	3439	2333	5547	5228	4524	5956	6389	7526	3240	11798	9864	6146	9797	7427	4204	175	0	0	0	0
LFQ	34	0	58	849213	2571	80	683	1293	885	2193	9418	9465	12809	2564	1756	4318	277	666	1456	1476	3998	9440	5500	3699	1854	2750	2724	2533	2184	4491	5417	5070	5243	6472	9022	5015	12555	8049	7962	7771	3668	118	0	0	0	0
LFQ	35	0	58	861234	63	627	1208	866	2261	9203	9438	11778	2176	1754	4001	162	107	1635	1601	3933	9000	5485	3060	3427	2777	2030	3198	4718	5292	4210	5048	5474	7514	2296	9977	7177	5843	6157	6771	2925	2127	105	0	0	0	0
LFQ	36	0	64	869552	18	16	1583	803	1124	4281	6719	11060	9289	235	2721	2610	58	1438	1538	3248	7651	5788	3156	1808	2362	2857	2561	2006	4437	4880	3779	4667	5097	7497	1964	9486	6911	6078	7170	7084	3004	116	0	0	0	0
LFQ	37	0	65	877208	0	30	1428	849	987	3433	6721	9283	9820	372	2288	2804	93	849	1798	2185	7596	5645	2783	1629	1149	2359	3738	1112	5570	4001	3557	5016	4878	7399	1798	9027	6457	5823	6838	6860	3148	120	0	0	0	0
LFQ	38	0	82	884156	15	626	757	778	1887	7479	9547	8966	1226	1554	3209	78	1032	1774	2518	8014	4782	2313	1869	1754	3117	2032	5228	4032	3259	4906	4624	7074	1574	7981	6012	5439	5149	6362	2553	2438	370	150	0	0	0	0
LFQ	39	0	67	891013	0	20	1223	723	932	2990	5874	8581	8196	258	2204	2378	67	1036	1796	2092	7190	4752	2232	1450	1047	2692	3155	4106	3323	3307	2942	3749	3509	6908	1576	7951	5766	5811	6138	6586	2905	171	0	0	0	0
LFQ	40	0	112	897537	0	38	1183	689	868	2811	5677	8423	7727	258	2028	2277	101	1271	1816	2106	6367	4281	2239	1275	733	2631	3030	3955	4051	2219	4803	4497	6548	1158	6812	4229	4680	4974	7740	3438	1975	159	0	0	0	0
LFQ	41	0	237	903931	0	26	1160	755	738	2841	5196	8067	7551	302	1833	2132	33	992	2088	1851	5653	4348	1810	1162	953	2114	2936	964	4339	3084	2670	4059	3787	6324	1419	7160	5161	5255	5104	5925	2636	120	0	0	0	0
LFQ	42	0	127	910185	0	28	915	620	798	2566	5181	7619	7055	241	1627	1875	88	983	1969	2003	5210	4214	1742	1099	743	2092	2776	1070	4119	3115	2509	3868	3602	6149	1440	7204	4441	5705	5657	4347	1644	90	0	0	0	0
LFQ	43	0	296	916067	0	41	1052	686	552	2624	4665	7026	6494	309	1611	1914	36	1104	2047	2031	4986	4044	1436	901	693	2008	2663	992	3857	2389	2305	3937	3264	6142	1268	6755	4189	5540	5252	3936	1543	61	0	0	0	0
LFQ	44	0	334	920839	1103	39	664	678	507	1435	5306	6765	5940	642	1061	2223	56	1172	2473	3324	4176	3202	743	595	867	2679	2126	2895	2850	2077	2344	2933	2675	5903	1204	6048	3668	5308	5104	3783	912	63	0	0	0	0
LFQ	45	0	414	926442	1096	37	612	692	494	1391	4956	6373	5571	643	979	2005	71	1145	2297	3156	3807	2959	670	585	678	2661	2086	2578	2506	1843	1976	3163	2431	5467	1225	5962	3618	4889	4350	3451	1368	69	0	0	0	0
LFQ	46	0	443	931706	927	62	565	728	449	1318	4565	5950	5132	595	849	1914	78	1130	2286	2864	3673	2821	623	568	626	2492	2032	2279	2561	1828	2058	2716	2360	5100	1217	5450	3272	4960	4335	3252	859	73	0	0	0	0
LFQ	47	0	467	936779	901	65	600	749	444	1292	4315	5493	4782	606	831	1761	92	1088	2109	2639	3379	2692	581	517	634	2334	2006	2109	2436	1690	1899	2578	2244	4861	1418	5099	3868	3832	4918	1756	801	51	0	0	0	0
LFQ	48	0	465	941697	740	68	601	690	419	1364	4096	4796	4568	484	1019	1637	137	332	1722	2249	2227	2589	2162	621	442	804	2336	2834	1475	2004	1371	1582	2186	2406	4746	1745	5444	4616	2796	3486	1652	98	10	0	0	0
LFQ	49	0	209	946584	578	45	365	396	626	868	4148	4703	4275	619	1130	1413	139	242	1427	2042	1677	2845	2131	304	740	528	1823	2773	1450	2633	1067	2330	2443	3966	1258	4489	3133	3715	2705	3294	1555	48	0	0	0	0
LFQ	50	0	183	951246	0	514	333	152	602	843	3039	4759	4139	765	1123	1202	377	95	237	1212	1989	1867	2471	2113	374	581	621	1793	2422	1289	2255	768	2247	2209	3797	1428	4656	3461	3841	3991	1680	42	0	0	0	0
LFQ	51	0	69	955264	149	8	602	25	146	757	2276	3550	3776	680	917	1479	42	532	554	582	784	1664	2331	2115	2061	3113	2292	2066	2425	2301	1711	2596	1993	4564	1517	4747	3206	2093	1063	659	7	0	0	0	0	0
LFQ	52	0	0	958462	265	0	388	208	102	414	665	2220	3769	3287	333	1031	841	425	13	73	268	800	2033	1884	2314	1697	538	522	539	2380	2151	1521	2152	685	2250	2360	4512	2457	5127	4602	2775	653	0	0	0	0
LFQ	53	0	89	961679	180	0	356	186	175	421	761	2141	3474	2898	319	900	849	399	40	141	259	1178	1825	1833	1526	1431	567	245	1570	2362	1154	1981	1022	1813	2708	3781	2131	4179	4499	3248	2034	362	0	0	0	0
LFQ	54	0	184	965028	0	6	448	138	298	557	2055	2592	2995	874	1042	1043	101	350	208	1022	1604	1458	1656	1322	1541	2172	2000	3473	4221	2715	4691	4491	2427	1896	943	460	351	20	136	145	50	3	0	0	0	0
LFQ	55	0	47	968123	96	5	339	17	121	545	1469	2364	2545	826	847	1011	15	474	288	1133	1559	1099	1690	1359	1312	2029	1471	2695	2512	4719	2631	5187	3527	1657	1517	782	325	158	95	61	61	5	0	0	0	0
LFQ	56	0	61	971142	121	5	308	16	118	474	1341	1994	2326	782	666	789	64	550	804	1314	728	1508	1094	461	1588	1874	1539	2162	2165	3730	2620	3739	4159	2481	2352	880	325	167	124	94	44	7	0	0	0	0
LFQ	57	0	161	974114	0	5	261	112	253	299	1318	1508	2040	749	677	627	153	681	984	1032	863	1340	395	961	1485	1411	1443	1508	2601	3304	2146	3392	4064	2612	2393	969	357	199	135	113	40	11	0	0	0	0
LFQ	58	0	146	976949	0	4	221	127	254	308	1210	1310	1796	723	697	511	140	407	677	844	511	1167	833	481	1154	1515	1146	1740	1849	2960	2206	2996	3422	2847	1385	2208	1027	578	151	146	58	12	0	0	0	0
LFQ	59	0	124	979572	0	4	195	137	231	272	1069	1103	1676	739	551	484	141	606	643	955	463	1041	415	379	1294	1377	1066	1801	1577	2747	2083	2596	3017	2558	1436	2146	1022	671	200	207	87	31	0	0	0	0
LFQ	60	0	50	982022	103	3	177	52	98	351	762	1058	1552	739	445	546	105	581	503	910	467	886	486	687	1286	797	1356	1321	1558	2509	1393	2642	2587	1951	1820	2491	1062	703	186	302	122	47	0	0	0	0
LFQ	61	0	58	984429	76	1	80	153	97	288	623	1029	744	804	915	544	316	304	808	652	381	807	518	383	950	1061	1018	1063	1196	1765	2356	1705	2627	1897	1855	1820	1474	735	438	458	257	31	0	0	0	0
LFQ	62	0	59	986791	80	1	67	91	82	208	483	683	506	729	835	372	219	68	304	153	334	716	1170	373	477	372	180	614	1031	737	960	839	716	965	1250	2018	1504	2627	2758	2437	2386	484	37	0	0	0
LFQ	63	0	47	989404	58	0	32	92	80	164	200	614	449	1087	755	431	310	58	255	146	197	530	1143	369	357	205	269	378	448	871	801	917	606	685	941	1369	2202	1962	2932	2196	2285	855	16	0	0	0
LFQ	64	0	42	991787	65	0	48	94	70	169	363	728	368	788	872	526	227	43	249	208	451	1053	371	339	165	212	209	527	767	765	879	674	641	855	1183	1623	1267	2022	2080	1866	1872	248	0	0	0	0
LFQ	65	0	41	993859	100	0	42	86	53	114	218	601	311	964	811	493	215	67	218	155	148	660	840	309	274	183	195	372	393	733	642	770	563	592	760	1125	1763	1604	2238	1709	1900	595	0	0	0	0
LFQ	66	0	44	995759	75	0	33	109	50	148	199	591	249	997	812	494	199	51	239	169	162	672	836	268	220	150	177	410	360	636	603	744	561	435	1053	1025	1382	1338	1878	1436	1684	468	0	0	0	0
LFQ	67	0	44	997411	86	0	36	81	69	148	207	525	222	905	757	455	177	59	242	167	182	654	805	273	180	135	214	385	303	609	540	594	510	409	554	929	971	1480	1638	1788	1543	429	0	0	0	0
LFQ	68	0	65	998676	86	10	24	97	61	137	166	470	181	736	714	414	167	75	231	112	281	599	744	122	161	129	221	475	420	634	519	599	446	370	1009	953	1169	1164	1515	1081	1265	418	0	0	0	0
LFQ	69	0	50	999829	51	6	23	81	39	112	123	329	107	597	530	247	142	58	258	122	390	575	871	122	174	111	216	445	441	583	457	570	482	389	1018	857	1169	1150	1420	914	1256	401	1	0	0	0
LFQ	70	0	54	1000907	43	10	21	62	42	104	118	307	117	584	499	286	126	72	219	91	194	431	608	189	193	93	198	245	393	468	570	487	559	396	552	781	885	1333	1488	1399	1244	348	0	0	0	0
LFQ	71	0	48	1001900	51	5	23	41	47	80	110	314	126	523	533	340	144	97	207	165	293	503	96	202	98	109	217	399	329	471	457	476	426	191	775	687	690	1254	1340	1327	1138	484	0	0	0	0
LFQ	72	0	51	1002827	62	7	28	45	39	97	116	361	111	555	536	396	111	100	191	134	294	496	102	202	84	84	247	342	301	447	442	339	351	279	386	615	722	1208	1142	1310	983	571	2	0	0	0
LFQ	73	0	38	1003594	34	7	19	35	18	88	95	305	114	477	436	249	91	73	159	112	138	354	551	132	114	115	189	353	286	367	390	277	348	332	287	763	785	1134	1102	1285	894	576	0	0	0	0
LFQ	74	0	41	1004353	23	45	20	35	9	31	113	84	214	437	405	170	102	37	212	95	125	373	504	150	148	72	168	221	359	337	432	391	418	287	642	633	546	1044	1071	1082	985	302	0	0	0	0
LFQ	75	0	46	1005056	11	47	11	34	7	32	110	95	156	349	273	95	84	13	185	51	128	305	443	117	112	87	120	220	278	252	405	334	432	398	324	754	736	1017	829	1301	579	814	76	0	0	0
LFQ	76	0	32	1005674	17	36	22	40	5	38	120	106	166	325	308	116	85	31	166	22	67	139	241	303	90	138	103	175	335	214	357	319	390	341	291	719	670	1069	1029	1138	792	487	0	0	0	0
LFQ	77	0	29	1006345	13	31	20	32	13	30	100	89	179	284	276	127	94	44	145	50	61	225	264	105	114	65	190	276	207	338	301	319	403	223	561	542	546	908	924	1054	783	406	0	0	0	0
LFQ	78	0	25	1006934	16	43	29	35	8	27	89	76	249	365	305	148	261	29	135	52	71	183	279	82	101	61	88	136	255	144	288	207	280	318	169	589	513	703	764	1241	549	798	71	0	0	0
LFQ	79	0	15	1007498	11	53	21	25	4	30	84	88	345	359	329	139	61	23	158	49	102	260	329	72	100	86	127	204	179	230	205	252	216	292	152	492	474	564	577	1203	533	709	66	0	0	0
LFQ	80	0	28	1008024	13	36	13	24	2	22	77	77	149	211	182	74	46	94	134	137	287	378	137	87	52	139	272	174	227	226	302	280	237	385	485	401	611	398	770	606	541	378	0	0	0	0
LFQ	81	0	18	1008529	10	24	13	15	5	25	64	52	119	169	142	63	47	15	107	64	68	224	233	63	87	76	127	250	183	227	230	280	258	230	371	541	463	726	623	913	382	614	66	0	0	0
LFQ	82	0	18	1009026	10	40	14	14	4	30	81	60	110	118	134	54	39	9	78	21	51	78	126	187	37	99	98	112	175	147	235	254	275	313	190	476	450	581	606	1097	533	653	83	0	0	0
LFQ	83	0	23	1009495	17	32	16	27	12	19	64	40	120	142	120	44	67	15	73	31	34	113	140	47	48	59	79	181	111	168	175	186	184	252	201	421	399	485	536	1009	680	592	259	0	0	0
LFQ	84	0	21	1010019	10	29	17	19	3	14	67	57	135	160	130	37	59	13	79	31	60	103	140	59	30	52	103	158	101	135	161	182	203	183	262	379	372	571	475	994	367	636	90	0	0	0
LFQ	85	0	15	1010459	11	32	19	19	1	21	78	37	132	126	123	31	47	27	64	51	62	87	184	16	55	74	130	103	125	153	121	241	207	114	306	324	370	451	620	755	279	572	74	0	0	0
LFQ	86	0	11	1010804	29	9	22	1	20	71	40	167	115	41	31	34	103	117	37	70	73	25	83	144	105	147	182	178	179	131	302	174	194	342	142	353	355	259	406	397	433	374	16	0	0	0
LFQ	87	0	5	1011123	12	29	14	12	1	11	70	38	97	64	68	25	33	19	57	42	73	110	27	53	26	41	120	90	119	87	111	129	126	201	240	303	305	435	389	638	550	440	364	19	0	0
LFQ	88	0	14	1011502	4	24	14	11	2	21	76	41	110	78	65	15	24	16	66	46	72	72	36	58	22	40	116	99	87	111	86	138	104	206	122	279	244	321	397	697	560	379	326	15	0	0
LFQ	89	0	7	1012041	5	16	18	8	2	13	44	25	82	66	56	17	29	19	44	28	43	66	61	30	30	40	93	73	101	71	88	102	137	143	145	224	314	348	392	598	478	339	272	8	0	0
LFQ	90	0	5	1012581	1	11	18	6	0	14	55	31	114	93	64	22	55	20	49	29	41	57	56	38	12	32	85	78	85	61	111	74	153	175	94	253	185	302	352	478	337	238	247	4	0	0
LFQ	91	0	7	1012966	6	23	11	0	2	9	56	30	145	72	52	49	67	28	45	26	32	54	55	61	17	54	77	61	66	103	41	82	83	98	121	181	237	239	332	422	334	202	167	3	0	0
LFQ	92	0	3	1013226	3	6	13	1	7	3	33	19	91	39	36	32	20	22	26	31	61	54	108	30	14	53	63	71	72	78	83	75	131	85	130	158	196	231	276	253	416	134	296	37	0	0
LFQ	93	0	0	1013467	0	2	15	0	1	0	4	23	17	40	28	30	2	14	6	33	38	31	70	42	11	38	54	54	66	79	80	68	60	131	140	173	217	251	299	315	377	83	311	46	0	0
LFQ	94	0	2	1013752	0	3	14	2	0	0	6	18	15	39	21	23	6	16	5	13	22	28	25	38	21	18	49	37	63	52	37	59	56	123	129	151	172	221	245	288	451	148	306	42	0	0
LFQ	95	0	1	1014099	0	1	14	0	0	0	2	18	12	36	20	24	3	10	2	17	5	11	29	21	14	38	43	36	37	39	52	40	102	99	85	169	163	131	286	331	310	74	297	45	0	0
LFQ	96	0	0	1014446	0	2	8	0	0	1	5	13	8	31	16	11	13	7	3	12	12	6	17	9	17	10	29	37	51	31	35	21	39	67	80	48	128	126	124	293	398	229	185	148	0	0
LFQ	97	0	0	1014759	0	3	3	0	0	1	4	18	3	24	18	20	1	9	7	10	8	11	11	18	7	34	26	30	29	27	31	25	47	82	57	104	95	144	185	165	253	163	151	133	0	0
LFQ	98	0	0	1015026	0	0	2	1	0	0	0	1	5	3	13	5	3	4	2	8	8	11	14	15	3	14	25	18	31	33	17	26	13	63	58	78	116	153	165	194	258	79	227	24	0	0
LFQ	99	0	0	1015299	0	0	1	0	0	0	0	1	0	2	1	3	5	2	1	1	5	5	16	6	4	17	15	13	15	9	32	12	79	29	62	61	158	136	184	211	81	229	21	0	0	0
LFQ	100	0	0	1015556	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	4	6	14	3	13	18	23	11	12	24	9	44	34	51	94	104	96	144	201	54	174	22	0	0	0	0
# GC Content of first fragments. Use `grep ^GCF | cut -f 2-` to extract this part.
GCF	0.25	0
GCF	1.01	2
GCF	2.01	4
GCF	3.02	13
GCF	4.02	16
GCF	5.53	13
GCF	7.04	27
GCF	8.04	28
GCF	9.05	29
GCF	10.05	56
GCF	11.06	59
GCF	12.06	90
GCF	13.07	106
GCF	14.07	158
GCF	15.08	284
GCF	16.08	408
GCF	17.09	563
GCF	18.09	975
GCF	19.10	1378
GCF	20.10	1955
GCF	21.11	2708
GCF	22.11	3604
GCF	23.12	4783
GCF	24.12	6336
GCF	25.13	7864
GCF	26.13	9794
GCF	27.14	12007
GCF	28.14	14368
GCF	29.15	16648
GCF	30.15	19098
GCF	31.16	21540
GCF	32.16	24003
GCF	33.17	26514
GCF	34.17	28694
GCF	35.18	30337
GCF	36.18	32258
GCF	37.19	33564
GCF	38.19	34984
GCF	39.20	35666
GCF	40.20	36127
GCF	41.21	36738
GCF	42.21	36176
GCF	43.22	36443
GCF	44.22	35818
GCF	45.23	35267
GCF	46.23	33992
GCF	47.24	33177
GCF	48.24	31734
GCF	49.25	30539
GCF	50.25	29248
GCF	51.26	28150
GCF	52.26	26088
GCF	53.27	24613
GCF	54.27	22683
GCF	55.28	20947
GCF	56.28	19372
GCF	57.29	17322
GCF	58.29	15782
GCF	59.30	14062
GCF	60.30	12517
GCF	61.31	11134
GCF	62.31	9552
GCF	63.32	8369
GCF	64.32	7298
GCF	65.33	6111
GCF	66.33	5174
GCF	67.34	4228
GCF	68.34	3500
GCF	69.35	2884
GCF	70.35	2335
GCF	71.36	1803
GCF	72.36	1526
GCF	73.37	1183
GCF	74.37	971
GCF	75.38	672
GCF	76.38	554
GCF	77.39	424
GCF	78.39	330
GCF	79.40	255
GCF	80.40	193
GCF	81.41	145
GCF	82.41	96
GCF	83.42	69
GCF	84.42	60
GCF	85.43	32
GCF	86.43	31
GCF	87.44	13
GCF	88.44	16
GCF	89.45	6
GCF	90.45	2
GCF	91.96	3
GCF	93.47	0
GCF	94.47	1
GCF	95.98	0
GCF	97.49	1
# GC Content of last fragments. Use `grep ^GCL | cut -f 2-` to extract this part.
GCL	0.75	0
GCL	2.01	1
GCL	3.02	0
GCL	4.02	2
GCL	5.03	0
GCL	6.03	2
GCL	7.04	8
GCL	8.04	12
GCL	9.05	16
GCL	10.05	27
GCL	11.06	29
GCL	12.06	58
GCL	13.07	72
GCL	14.07	112
GCL	15.08	178
GCL	16.08	243
GCL	17.09	428
GCL	18.09	727
GCL	19.10	979
GCL	20.10	1443
GCL	21.11	2180
GCL	22.11	3094
GCL	23.12	4141
GCL	24.12	5615
GCL	25.13	7140
GCL	26.13	9300
GCL	27.14	11306
GCL	28.14	13939
GCL	29.15	16269
GCL	30.15	19449
GCL	31.16	22002
GCL	32.16	25185
GCL	33.17	27669
GCL	34.17	30359
GCL	35.18	32474
GCL	36.18	34836
GCL	37.19	36494
GCL	38.19	37512
GCL	39.20	38390
GCL	40.20	38959
GCL	41.21	39672
GCL	42.21	39320
GCL	43.22	38609
GCL	44.22	37750
GCL	45.23	37144
GCL	46.23	35879
GCL	47.24	34777
GCL	48.24	32906
GCL	49.25	31165
GCL	50.25	29019
GCL	51.26	27146
GCL	52.26	25492
GCL	53.27	23330
GCL	54.27	21341
GCL	55.28	19208
GCL	56.28	17328
GCL	57.29	15589
GCL	58.29	13644
GCL	59.30	12277
GCL	60.30	10701
GCL	61.31	9372
GCL	62.31	7871
GCL	63.32	6693
GCL	64.32	5471
GCL	65.33	4665
GCL	66.33	3909
GCL	67.34	3243
GCL	68.34	2514
GCL	69.35	2180
GCL	70.35	1763
GCL	71.36	1351
GCL	72.36	1028
GCL	73.37	881
GCL	74.37	669
GCL	75.38	518
GCL	76.38	403
GCL	77.39	330
GCL	78.39	244
GCL	79.40	182
GCL	80.40	126
GCL	81.41	85
GCL	82.41	83
GCL	83.42	48
GCL	84.42	36
GCL	85.43	28
GCL	86.43	30
GCL	87.44	16
GCL	88.44	13
GCL	89.45	8
GCL	90.45	3
GCL	91.96	2
GCL	93.47	1
GCL	95.48	0
GCL	97.49	1
# ACGT content per cycle. Use `grep ^GCC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
GCC	1	31.68	21.57	17.81	28.94	0.31	0.00
GCC	2	31.55	20.62	18.65	29.19	0.11	0.00
GCC	3	29.99	20.56	19.74	29.72	0.09	0.00
GCC	4	29.18	20.80	21.11	28.92	0.13	0.00
GCC	5	29.55	20.05	21.55	28.86	0.58	0.00
GCC	6	29.28	21.33	21.83	27.55	0.74	0.00
GCC	7	29.09	20.59	21.51	28.81	0.69	0.00
GCC	8	29.07	21.05	21.23	28.65	0.73	0.00
GCC	9	28.87	21.02	21.25	28.86	1.15	0.00
GCC	10	29.29	20.91	21.44	28.35	1.39	0.00
GCC	11	29.13	20.88	21.56	28.43	1.19	0.00
GCC	12	29.00	20.95	21.44	28.61	1.09	0.00
GCC	13	28.91	20.83	21.42	28.84	0.80	0.00
GCC	14	28.92	20.81	21.54	28.73	0.06	0.00
GCC	15	28.82	21.01	21.51	28.66	0.01	0.00
GCC	16	28.72	21.04	21.59	28.65	0.03	0.00
GCC	17	28.55	21.02	21.71	28.71	0.02	0.00
GCC	18	28.45	21.14	21.74	28.66	0.02	0.00
GCC	19	28.39	21.24	21.65	28.71	0.01	0.00
GCC	20	28.33	21.32	21.54	28.81	0.01	0.00
GCC	21	28.30	21.28	21.72	28.70	0.01	0.00
GCC	22	28.12	21.46	21.81	28.62	0.01	0.00
GCC	23	28.20	21.34	21.88	28.59	0.01	0.00
GCC	24	28.03	21.47	22.04	28.46	0.04	0.00
GCC	25	28.10	21.39	22.06	28.45	0.03	0.00
GCC	26	27.96	21.48	22.17	28.39	0.11	0.00
GCC	27	27.93	21.45	22.25	28.38	0.24	0.00
GCC	28	27.88	21.59	22.26	28.27	0.11	0.00
GCC	29	27.94	21.46	22.34	28.26	0.01	0.00
GCC	30	27.97	21.47	22.37	28.20	0.01	0.00
GCC	31	27.87	21.47	22.53	28.13	0.02	0.00
GCC	32	27.79	21.39	22.74	28.09	0.02	0.00
GCC	33	27.84	21.50	22.75	27.90	0.02	0.00
GCC	34	28.08	21.44	22.51	27.98	0.02	0.00
GCC	35	27.95	21.86	22.36	27.83	0.03	0.00
GCC	36	27.87	21.96	22.36	27.81	0.03	0.00
GCC	37	27.89	21.95	22.39	27.78	0.03	0.00
GCC	38	27.87	21.87	22.44	27.81	0.03	0.00
GCC	39	27.91	21.97	22.43	27.69	0.03	0.00
GCC	40	27.80	21.99	22.47	27.74	0.03	0.00
GCC	41	27.90	21.91	22.53	27.66	0.03	0.00
GCC	42	27.82	22.00	22.51	27.66	0.03	0.00
GCC	43	27.78	21.92	22.51	27.79	0.03	0.00
GCC	44	27.72	21.94	22.51	27.83	0.23	0.00
GCC	45	27.70	21.99	22.57	27.74	0.30	0.00
GCC	46	27.73	21.95	22.57	27.75	0.35	0.00
GCC	47	27.68	21.98	22.65	27.69	0.35	0.00
GCC	48	27.62	22.04	22.59	27.74	0.16	0.00
GCC	49	27.73	22.01	22.54	27.71	0.03	0.00
GCC	50	27.82	22.06	22.48	27.65	0.03	0.00
GCC	51	27.87	21.84	21.92	28.36	0.12	0.00
GCC	52	27.82	21.86	22.01	28.32	0.26	0.00
GCC	53	27.84	21.82	21.96	28.38	0.32	0.00
GCC	54	27.51	22.46	21.89	28.14	0.06	0.00
GCC	55	27.73	22.35	21.89	28.03	0.04	0.00
GCC	56	27.65	22.40	21.85	28.10	0.05	0.00
GCC	57	27.77	22.35	21.84	28.05	0.04	0.00
GCC	58	27.67	22.44	21.79	28.10	0.04	0.00
GCC	59	27.70	22.41	21.87	28.02	0.04	0.00
GCC	60	27.68	22.48	21.86	27.99	0.05	0.00
GCC	61	27.76	22.43	21.86	27.95	0.05	0.00
GCC	62	27.83	22.02	21.96	28.18	0.05	0.00
GCC	63	27.73	21.92	22.06	28.30	0.04	0.00
GCC	64	27.80	21.93	22.09	28.17	0.03	0.00
GCC	65	27.83	21.84	22.21	28.12	0.04	0.00
GCC	66	27.77	21.98	22.29	27.95	0.06	0.00
